Row Taxon Label	Title	Start Index	End Index	GenBank Accession	Other Accession Num	Raw Date	Sample Date	Collector	Herbarium	Latitude	Lat Raw	Longitude	Long Raw	Elevation	Country	State	Locality	Notes	.
Xanthomendoza mendozae		1	7019					"V. Reeb, VR 11-V-02-14"	DUKE	-20.24416667	"20°14'39.0""S"	-67.62669444	"67°37'36.1""W"	3650 m 	Bolivia	Potosí	"Salar de Uyuni, Isla Inca Huasi"	on basaltic rock	
Xanthomendoza montana		1	7019					"S.T. Bates, B.A. Iselin & T.H. Nash III "	ASU 574356	36.67805556	36º40'41''N 	-113.6311111	113º37'52''W		USA	Arizona	"Mohave County, Grand Canyon Parashant National Monument"	"habitat pinyon juniper woodland, on decorticate wood Ephedra sp., Sandstone bluff, 20 May 2003, Collected by K.G. Sweat #KGS136A"	
Xanthomendoza poeltii		1	7019			9.8.2006	2006-08-09	" E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea"	BCN	56.70804444	56º42’ 28.96''N	12.89636944	12º 53'46.93''E	32 m	Sweden	Halland	"Övraby, Sperlingsholm"	epiphyte on Ulmus glabra	
Xanthomendoza ulophyllodes		1	7019			26.4.2002	2002-04-26	"R. Egan EL-15, 811"	OMA	46.14916667	46º08'57''N	-89.50083333	89º30'03''W	545	USA	WI	"Vilas co., Town of Land O'Lakes, Northern Highland State Forest, Johnson Lake Barrens State Natural Area just east of Jute Lake, NNE of Woodruff"	"open jack pine-aspen woods with Prunus and burned stumps, on dry wood"	
Xanthomendoza weberi		1	7019			02.04.2011	2011-04-02	Gary B. Perlmutter #2685	NCU	35.74777778	35º44'52''N 	-78.42111111	78º25'16''W	73 m	USA	North Carolina	"Wake Co., Pleasants’yard, just north of Turnipseed Preserve, rural yard facing fallow agricultural field, sunny"	"elevation, on trunk of large oak"	
Xanthopeltis rupicola		1	7019			 10 Apr 2011	2011-04-10	R. Vargas 3638 & A. Ugarte		-33.82980556	33º 49' 47.3''S	-70.08594444	70º05'09.4''W	1759 m	Chile	Metropolitan Region	"Cordillera Province, San José de Maipo municipality, 63km E of Santiago, following the road El Volcán"	"saxicolous, in open well lit areas. Type locality"	
Xanthoria andina		1	7019			8.2.2002	2002-02-08	Canseco A-113 	LPB-B	-16.54022222	16º32'24.8''S	-68.06713889	68º04'01.7''W	3750 m 	Bolívia	Dpto. La Paz	"Prov. Murillo, Laguna de Cota – Cota (calle 31), sector frente a la puerta principal"	"Puna and Altoandina vegetation, on Populus balsamifera"	
Xanthoria aureola		1	7019			11.8.2006	2006-08-11	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea"	BCN	58.32848056	58º19'42.53''N 	11.2467	11º14'48.12''E	5 m	Sweden	Bohuslän	"Kungshamn par., Sunnerskär"	granitic islands	
Xanthoria calcicola		1	7019			26.5.2006	2006-05-26	"X. Llimona, S. Fernández-Brime et al."	BCN						Spain	Catalonia	"Montgrí, Cap d’Oltrera"	on calcareous rock	
Xanthoria candelaria		1	7019			9.8.2006	2006-08-09	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea "	BCN	57.29848056	57º17'54.53''N 	12.12491111	12º 07'29.68''E	0-2 m	Sweden	Halland	"Varberg, Vendelsö island"	on siliceous rocks	
Xanthoria elegans		1	7019			22.7.2007	2007-07-22	"E. Gaya, J. Geml, J. Gomà "	DUKE						USA	Alaska	"Elliott Hway, on calcareous boulder"		
Xanthoria parietina		1	7019			11.8.2006	2006-08-11	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea"	BCN	58.32848056	58º19'42.53''N 	11.2467	11º14'48.12''E	5 m	Sweden	Bohuslän	"Kungshamn par., Sunnerskär"	granitic islands	
Xanthoria polycarpa		1	7019			12.8.2006	2006-08-12	"E. Gaya, P. Navarro-Rosinés, U. Arup, U. Sochting, N. Hladun, A. Gómez-Bolea "	BCN	56.35148056	56º21'05.33''N 	16.46863056	16º28'07.07'E	14 m	Sweden	Öland	"Gräsgård par., E of the wall, S of the road SE Tingstenen"	calcareous soils and rocks (Ordovician)	
Xanthoria tenax		1	7019			03.01.10	2010-03-01	 E. Gaya 03.01.10-18A & F. Lutzoni 	DUKE	34.09755	34º05.853'N	-118.8161333	118º48.968'W	516 m	USA	California	"Santa Monica mountains, Rocky Oaks National Park service property, along the trail starting at the parking lot, at the 'brown house' just outside the fence around the house"	"open grassy area, sun-exposed site, dry, flat slope, on Juglans californica tree#4"	
